query_appid,query_game,rich_text_rank,appid,recommended_game,rich_text_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
578080,PUBG: BATTLEGROUNDS,24,931250,Pixel Royale,0.152508,2018-11-06,2018,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation']",0,35.0,14.0,0
578080,PUBG: BATTLEGROUNDS,25,2446340,Garestia,0.151465,2023-06-19,2023,['Free To Play'],0,44.0,29.0,0
578080,PUBG: BATTLEGROUNDS,26,913180,Battle royale simulator,0.150358,2018-08-24,2018,"['Action', 'Simulation', 'Strategy']",0,37.0,24.0,0
578080,PUBG: BATTLEGROUNDS,27,1146730,Void of Heroes,0.149673,2020-11-03,2020,"['Action', 'Free To Play']",0,70.0,17.0,0
578080,PUBG: BATTLEGROUNDS,28,2018740,MetaDOS,0.149538,2024-03-06,2024,"['Action', 'Massively Multiplayer', 'Free To Play', 'Early Access']",0,25.0,47.0,0
578080,PUBG: BATTLEGROUNDS,29,923790,Battle Royale Survival,0.148934,2018-08-31,2018,"['Action', 'Adventure', 'Free To Play', 'Early Access']",0,57.0,40.0,0
578080,PUBG: BATTLEGROUNDS,30,1595400,WSB GME,0.148526,2022-02-22,2022,"['Action', 'Massively Multiplayer']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,31,822800,Soulfire,0.14603,2020-08-03,2020,"['Action', 'Indie']",237,80.0,237.0,0
578080,PUBG: BATTLEGROUNDS,32,2631910,TNMverse VIP,0.14595,2023-11-20,2023,"['Action', 'Indie', 'Massively Multiplayer']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,33,1531550,Megacraft Hentai Battlegrounds,0.145572,2021-05-14,2021,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",0,78.0,56.0,0
578080,PUBG: BATTLEGROUNDS,34,1118500,Thugsters Battle Royale,0.144423,2019-09-20,2019,"['Indie', 'Massively Multiplayer']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,35,769220,TRAFICO,0.143427,2018-01-10,2018,"['Action', 'Indie']",0,76.0,13.0,0
578080,PUBG: BATTLEGROUNDS,36,757420,Zombie Crisis: Last One Standing,0.137739,2020-02-24,2020,"['Action', 'Adventure', 'Indie']",0,38.0,13.0,0
578080,PUBG: BATTLEGROUNDS,37,2226830,Royale Battle: Warzone,0.136239,2023-01-06,2023,['Action'],0,,0.0,0
578080,PUBG: BATTLEGROUNDS,38,1748390,Rocket Bot Royale,0.135379,2022-04-20,2022,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy']",189,88.0,189.0,5
578080,PUBG: BATTLEGROUNDS,39,765410,Bean Battles,0.133824,2018-08-22,2018,"['Action', 'Indie']",6517,94.0,6517.0,39
578080,PUBG: BATTLEGROUNDS,40,2677640,Peasant Royale,0.133558,2023-12-29,2023,"['Action', 'Massively Multiplayer', 'Free To Play']",0,71.0,295.0,0
578080,PUBG: BATTLEGROUNDS,41,329020,Battlegrounds of Eldhelm,0.132408,2014-10-22,2014,"['Free To Play', 'Indie', 'RPG']",0,69.0,211.0,0
578080,PUBG: BATTLEGROUNDS,42,1448600,Sheepy,0.131906,2021-07-24,2021,"['Casual', 'Free To Play', 'Indie']",0,90.0,418.0,0
578080,PUBG: BATTLEGROUNDS,43,857240,The Prison Experiment: Battle Royale,0.131563,2018-06-01,2018,"['Violent', 'Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,44,1171800,Vrtigo,0.131404,2020-01-30,2020,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer']",0,,0.0,0
578080,PUBG: BATTLEGROUNDS,45,2299230,Duckball,0.131127,2023-10-12,2023,"['Action', 'Casual', 'Indie', 'Free To Play']",0,89.0,19.0,0
578080,PUBG: BATTLEGROUNDS,46,2189890,AMBER Battle Royale,0.131052,2022-12-06,2022,"['Action', 'Free To Play', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access']",0,51.0,29.0,0
578080,PUBG: BATTLEGROUNDS,47,734590,Civil Warfare: Another Bullet In The War,0.131,2018-01-22,2018,"['Violent', 'Gore', 'Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",0,35.0,76.0,0
578080,PUBG: BATTLEGROUNDS,48,1490620,Pray And Spray,0.130872,2020-12-19,2020,['Action'],0,80.0,15.0,0
578080,PUBG: BATTLEGROUNDS,49,725620,Battlegrounds2D.IO,0.130042,2019-08-15,2019,['Action'],0,,0.0,0
578080,PUBG: BATTLEGROUNDS,50,1751860,Solo Royale,0.128799,2021-09-27,2021,"['Action', 'Indie', 'Strategy', 'Early Access']",0,,0.0,0
812140,Assassin's Creed® Odyssey,1,2251680,Epic Assassin,0.298995,2022-12-30,2022,['RPG'],0,,0.0,0
812140,Assassin's Creed® Odyssey,2,202690,Hegemony Gold: Wars of Ancient Greece,0.197679,2012-03-30,2012,"['Indie', 'Strategy']",176,94.0,177.0,5
812140,Assassin's Creed® Odyssey,3,1351200,Museum of War,0.192201,2020-07-28,2020,"['Action', 'Indie']",0,,0.0,0
812140,Assassin's Creed® Odyssey,4,383740,Marble Age: Remastered,0.189095,2020-11-03,2020,"['Indie', 'Simulation', 'Strategy']",330,85.0,330.0,5
812140,Assassin's Creed® Odyssey,5,1452870,Roads of Time 2: Odyssey,0.169379,2021-04-08,2021,['Casual'],0,72.0,11.0,0
812140,Assassin's Creed® Odyssey,6,1355070,Aenaon,0.160532,2020-07-26,2020,"['Adventure', 'Early Access']",0,,0.0,0
812140,Assassin's Creed® Odyssey,7,540690,Hellenica,0.152317,2017-01-23,2017,"['Indie', 'RPG', 'Strategy']",0,65.0,44.0,0
812140,Assassin's Creed® Odyssey,8,1191280,12 Labours of Hercules X: Greed for Speed,0.145766,2020-04-22,2020,"['Adventure', 'Casual', 'Indie', 'Strategy']",0,71.0,21.0,3
812140,Assassin's Creed® Odyssey,9,726630,Mare Nostrvm,0.142233,2017-11-02,2017,['Strategy'],0,85.0,21.0,1
812140,Assassin's Creed® Odyssey,10,855390,Ryte - The Eye of Atlantis,0.138745,2021-01-27,2021,['Adventure'],0,50.0,24.0,0
812140,Assassin's Creed® Odyssey,11,311560,Assassin’s Creed® Rogue,0.137734,2015-03-09,2015,"['Action', 'Adventure']",16625,85.0,16630.0,490
812140,Assassin's Creed® Odyssey,12,277590,Assassin's Creed Freedom Cry,0.136298,2014-02-25,2014,"['Action', 'Adventure']",2299,76.0,2311.0,22
812140,Assassin's Creed® Odyssey,13,983640,Theseus: Journey to Athens,0.132375,2019-02-27,2019,"['Adventure', 'Indie', 'RPG', 'Strategy']",0,93.0,15.0,0
812140,Assassin's Creed® Odyssey,14,624560,Medusa's Labyrinth VR,0.131192,2017-05-24,2017,"['Action', 'Indie']",0,,0.0,0
812140,Assassin's Creed® Odyssey,15,1314000,Achilles: Legends Untold,0.131015,2023-11-02,2023,"['Action', 'Indie', 'RPG']",1452,79.0,1454.0,14
